line_name,station_name,station_order,travel_time_to_next
Red Line,Shaheed Sthal,1,2
Red Line,Hindon River,2,2
Red Line,Arthala,3,2
Red Line,Mohan Nagar,4,2
Red Line,Shyam Park,5,2
Red Line,Major Mohit Sharma Rajendra Nagar,6,2
Red Line,Raj Bagh,7,2
Red Line,Shaheed Nagar,8,2
Red Line,Dilshad Garden,9,2
Red Line,Jhilmil,10,2
Red Line,Mansarovar Park,11,2
Red Line,Shahdara,12,2
Red Line,Welcome,13,3
Red Line,Seelampur,14,2
Red Line,Shastri Park,15,3
Red Line,Kashmere Gate,16,2
Red Line,Tis Hazari,17,2
Red Line,Pul Bangash,18,2
Red Line,Pratap Nagar,19,2
Red Line,Shastri Nagar,20,2
Red Line,Inderlok,21,2
Red Line,Kanhaiya Nagar,22,2
Red Line,Keshav Puram,23,2
Red Line,Netaji Subhash Place,24,2
Red Line,Kohat Enclave,25,2
Red Line,Pitampura,26,2
Red Line,Rohini East,27,2
Red Line,Rohini West,28,2
Red Line,Rithala,29,0
Yellow Line,Samaypur Badli,1,2
Yellow Line,Rohini Sector 18-19,2,2
Yellow Line,Haiderpur Badli Mor,3,2
Yellow Line,Jahangirpuri,4,2
Yellow Line,Adarsh Nagar,5,2
Yellow Line,Azadpur,6,2
Yellow Line,Model Town,7,2
Yellow Line,Guru Tegh Bahadur Nagar,8,2
Yellow Line,Vishwa Vidyalaya,9,2
Yellow Line,Vidhan Sabha,10,2
Yellow Line,Civil Lines,11,2
Yellow Line,Kashmere Gate,12,2
Yellow Line,Chandni Chowk,13,2
Yellow Line,Chawri Bazar,14,2
Yellow Line,New Delhi,15,2
Yellow Line,Rajiv Chowk,16,2
Yellow Line,Patel Chowk,17,2
Yellow Line,Central Secretariat,18,2
Yellow Line,Udyog Bhawan,19,2
Yellow Line,Lok Kalyan Marg,20,2
Yellow Line,Jor Bagh,21,2
Yellow Line,Dilli Haat - INA,22,2
Yellow Line,AIIMS,23,2
Yellow Line,Green Park,24,2
